pff_variable,base_variable,census_variable,domain,rounding,source,variable_name,census_variable_2018,table_2018,census_variable_2019,table_2019
costburden,owneroccbase,B25091_009,community_profiles,0,,!!Total!!Housing units with a mortgage!!35.0 to 39.9 percent,B25091_009,B25091,,
costburden,owneroccbase,B25091_010,community_profiles,0,,!!Total!!Housing units with a mortgage!!40.0 to 49.9 percent,B25091_010,B25091,,
costburden,owneroccbase,B25091_011,community_profiles,0,,!!Total!!Housing units with a mortgage!!50.0 percent or more,B25091_011,B25091,,
rentburden,renteroccbase,B25070_007,community_profiles,0,,!!Total!!30.0 to 34.9 percent,B25070_007,B25070,,
rentburden,renteroccbase,B25070_008,community_profiles,0,,!!Total!!35.0 to 39.9 percent,B25070_008,B25070,,
rentburden,renteroccbase,B25070_009,community_profiles,0,,!!Total!!40.0 to 49.9 percent,B25070_009,B25070,,
rentburden,renteroccbase,B25070_010,community_profiles,0,,!!Total!!50.0 percent or more,B25070_010,B25070,,
grpi50pl,ochuprnt2,B25070_010,housing,0,,!!Total!!50.0 percent or more,B25070_010,B25070,,
f16pl,f16pl,DP03_0010,economic,0,profile, !!EMPLOYMENT STATUS!!Females 16 years and over,DP03_0010,DP03,,
cvnipop2,cvnipop2,DP03_0095,economic,0,profile, !!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population,DP03_0095,DP03,,
nlf1,pop16pl,DP03_0007,economic,0,profile, !!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,DP03_0007,DP03,,
mft2p5t5,mdemftwrk,B20005_007,economic,0,,"!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$2,500 to $4,999",B20005_007,B20005,,
ern2pt5t5,mdewrk,B20005_007,economic,0,,"!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$2,500 to $4,999",B20005_007,B20005,,
mdefftwrk,median,DP03_0094,economic,0,profile,"!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Median earnings for female full-time, year-round workers (dollars)",DP03_0094,DP03,,
mdefftwrk,median,DP03_0094,economic,0,profile," !!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Median earnings for female full-time, year-round workers (dollars)",DP03_0094,DP03,,
inc_cpba,hh2,DP03_0072,economic,0,profile,!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!With cash public assistance income,DP03_0072,DP03,,
inc_cpba,hh2,DP03_0072,economic,0,profile, !!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!With cash public assistance income,DP03_0072,DP03,,
wrkr16pl,wrkr16pl,DP03_0018,economic,0,profile, !!COMMUTING TO WORK!!Workers 16 years and over,DP03_0018,DP03,,
wrkrnothm,mntrvtm,DP03_0018,economic,0,profile, !!COMMUTING TO WORK!!Workers 16 years and over,DP03_0018,DP03,,
prdtrnsmm,cvem16pl2,DP03_0031,economic,0,profile," !!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",DP03_0031,DP03,,
mdemftwrk,median,DP03_0093,economic,0,profile,"!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Median earnings for male full-time, year-round workers (dollars)",DP03_0093,DP03,,
mdemftwrk,median,DP03_0093,economic,0,profile," !!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Median earnings for male full-time, year-round workers (dollars)",DP03_0093,DP03,,
mdhhi30t34,mdhhinc,B19001_007,economic,0,,"!!Total!!$30,000 to $34,999",B19001_007,B19001,,
empbhins,cvlfem,DP03_0107,economic,0,profile,!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!In labor force!!Employed!!With health insurance coverage!!With public coverage,DP03_0107,DP03,,
empbhins,cvlfem,DP03_0107,economic,0,profile, !!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!In labor force!!Employed!!With health insurance coverage!!With public coverage,DP03_0107,DP03,,
mft7p5t10,mdemftwrk,B20005_009,economic,0,,"!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$7,500 to $9,999",B20005_009,B20005,,
e7pt5t10,mdewrk,B20005_009,economic,0,,"!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$7,500 to $9,999",B20005_009,B20005,,
fftu2pt5k,mdefftwrk,B20005_053,economic,0,,"!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$1 to $2,499 or loss",B20005_053,B20005,,
ernu2pt5k,mdewrk,B20005_053,economic,0,,"!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$1 to $2,499 or loss",B20005_053,B20005,,
pv175t184,poppvu2,B17024_035,economic,0,,!!Total!!12 to 17 years!!1.75 to 1.84,B17024_035,B17024,,
pv175t184,poppvu2,B17024_022,economic,0,,!!Total!!6 to 11 years!!1.75 to 1.84,B17024_022,B17024,,
pv175t184,poppvu2,B17024_126,economic,0,,!!Total!!75 years and over!!1.75 to 1.84,B17024_126,B17024,,
pv175t184,poppvu2,B17024_061,economic,0,,!!Total!!25 to 34 years!!1.75 to 1.84,B17024_061,B17024,,
pv175t184,poppvu2,B17024_087,economic,0,,!!Total!!45 to 54 years!!1.75 to 1.84,B17024_087,B17024,,
pv175t184,poppvu2,B17024_074,economic,0,,!!Total!!35 to 44 years!!1.75 to 1.84,B17024_074,B17024,,
pv175t184,poppvu2,B17024_048,economic,0,,!!Total!!18 to 24 years!!1.75 to 1.84,B17024_048,B17024,,
pv175t184,poppvu2,B17024_100,economic,0,,!!Total!!55 to 64 years!!1.75 to 1.84,B17024_100,B17024,,
pv175t184,poppvu2,B17024_113,economic,0,,!!Total!!65 to 74 years!!1.75 to 1.84,B17024_113,B17024,,
pv175t184,poppvu2,B17024_009,economic,0,,!!Total!!Under 6 years!!1.75 to 1.84,B17024_009,B17024,,
empvhins,cvlfem,DP03_0106,economic,0,profile,!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!In labor force!!Employed!!With health insurance coverage!!With private health insurance,DP03_0106,DP03,,
empvhins,cvlfem,DP03_0106,economic,0,profile, !!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!In labor force!!Employed!!With health insurance coverage!!With private health insurance,DP03_0106,DP03,,
whlsale,cvem16pl3,DP03_0036,economic,0,profile, !!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade,DP03_0036,DP03,,
hi150t199,hh2,DP03_0060,economic,0,profile,"!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$150,000 to $199,999",DP03_0060,DP03,,
hi150t199,hh2,DP03_0060,economic,0,profile," !!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$150,000 to $199,999",DP03_0060,DP03,,
mf17p5t20,mdemftwrk,B20005_013,economic,0,,"!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$17,500 to $19,999",B20005_013,B20005,,
e17pt5t20,mdewrk,B20005_013,economic,0,,"!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$17,500 to $19,999",B20005_013,B20005,,
mdhi150t199,mdhhinc,B19001_016,economic,0,,"!!Total!!$150,000 to $199,999",B19001_016,B19001,,
nfmi45t49,mdnfinc,B19201_010,economic,0,,"!!Total!!$45,000 to $49,999",B19201_010,B19201,,
mdfami50t59,mdfaminc,B19101_011,economic,0,,"!!Total!!$50,000 to $59,999",B19101_011,B19101,,
slfemninc,cvem16pl4,DP03_0049,economic,0,profile, !!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,DP03_0049,DP03,,
ff10t12p5,mdefftwrk,B20005_057,economic,0,,"!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$10,000 to $12,499",B20005_057,B20005,,
e10t12pt5,mdewrk,B20005_057,economic,0,,"!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$10,000 to $12,499",B20005_057,B20005,,
mft5t7p5,mdemftwrk,B20005_008,economic,0,,"!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$5,000 to $7,499",B20005_008,B20005,,
ern5t7pt5,mdewrk,B20005_008,economic,0,,"!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$5,000 to $7,499",B20005_008,B20005,,
nfmi30t34,mdnfinc,B19201_007,economic,0,,"!!Total!!$30,000 to $34,999",B19201_007,B19201,,
salesoff,cvem16pl2,DP03_0029,economic,0,profile, !!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,DP03_0029,DP03,,
agip15pl,percapinc,B19313_001,economic,0,,!!Aggregate income in the past 12 months (in 2018 inflation-adjusted dollars),B19313_001,B19313,,
mdnfinc,median,DP03_0090,economic,0,profile,!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Nonfamily households!!Median nonfamily income (dollars),DP03_0090,DP03,,
mdnfinc,median,DP03_0090,economic,0,profile, !!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Nonfamily households!!Median nonfamily income (dollars),DP03_0090,DP03,,
mdfi150t199,mdfaminc,B19101_016,economic,0,,"!!Total!!$150,000 to $199,999",B19101_016,B19101,,
emhins,cvlfem,DP03_0105,economic,0,profile,!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!In labor force!!Employed!!With health insurance coverage,DP03_0105,DP03,,
emhins,cvlfem,DP03_0105,economic,0,profile, !!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!In labor force!!Employed!!With health insurance coverage,DP03_0105,DP03,,
hi100t149,hh2,DP03_0059,economic,0,profile,"!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$100,000 to $149,999",DP03_0059,DP03,,
hi100t149,hh2,DP03_0059,economic,0,profile," !!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$100,000 to $149,999",DP03_0059,DP03,,
fam2,fam2,DP03_0075,economic,0,profile,!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Families,DP03_0075,DP03,,
fam2,fam2,DP03_0075,economic,0,profile, !!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Families,DP03_0075,DP03,,
ern50t55,mdewrk,B20005_068,economic,0,,"!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$50,000 to $54,999",B20005_068,B20005,,
fft50t55,mdefftwrk,B20005_068,economic,0,,"!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$50,000 to $54,999",B20005_068,B20005,,
ern50t55,mdewrk,B20005_091,economic,0,,"!!Total!!Female!!Other!!With earnings!!$50,000 to $54,999",B20005_091,B20005,,
ern50t55,mdewrk,B20005_021,economic,0,,"!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$50,000 to $54,999",B20005_021,B20005,,
mft50t55,mdemftwrk,B20005_021,economic,0,,"!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$50,000 to $54,999",B20005_021,B20005,,
ern50t55,mdewrk,B20005_044,economic,0,,"!!Total!!Male!!Other!!With earnings!!$50,000 to $54,999",B20005_044,B20005,,
retail,cvem16pl3,DP03_0037,economic,0,profile, !!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade,DP03_0037,DP03,,
mntrvtm,mean,DP03_0025,economic,1,profile, !!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),DP03_0025,DP03,,
ern75t100,mdewrk,B20005_071,economic,0,,"!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$75,000 to $99,999",B20005_071,B20005,,
fft75t100,mdefftwrk,B20005_071,economic,0,,"!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$75,000 to $99,999",B20005_071,B20005,,
ern75t100,mdewrk,B20005_024,economic,0,,"!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$75,000 to $99,999",B20005_024,B20005,,
mft75t100,mdemftwrk,B20005_024,economic,0,,"!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$75,000 to $99,999",B20005_024,B20005,,
ern75t100,mdewrk,B20005_094,economic,0,,"!!Total!!Female!!Other!!With earnings!!$75,000 to $99,999",B20005_094,B20005,,
ern75t100,mdewrk,B20005_047,economic,0,,"!!Total!!Male!!Other!!With earnings!!$75,000 to $99,999",B20005_047,B20005,,
updfmwrkr,cvem16pl4,DP03_0050,economic,0,profile, !!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers,DP03_0050,DP03,,
nlfnhins,nlf2,DP03_0118,economic,0,profile,!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!Not in labor force!!No health insurance coverage,DP03_0118,DP03,,
nlfnhins,nlf2,DP03_0118,economic,0,profile, !!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!Not in labor force!!No health insurance coverage,DP03_0118,DP03,,
hh5,mnhhinc,DP03_0051,economic,0,profile,!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households,DP03_0051,DP03,,
hh5,mnhhinc,DP03_0051,economic,0,profile, !!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households,DP03_0051,DP03,,
hh2,hh2,DP03_0051,economic,0,profile,!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households,DP03_0051,DP03,,
hh2,hh2,DP03_0051,economic,0,profile, !!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households,DP03_0051,DP03,,
nlf2,nlf2,DP03_0114,economic,0,profile,!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!Not in labor force,DP03_0114,DP03,,
nlf2,nlf2,DP03_0114,economic,0,profile, !!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!Not in labor force,DP03_0114,DP03,,
fft40t45,mdefftwrk,B20005_066,economic,0,,"!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$40,000 to $44,999",B20005_066,B20005,,
ern40t45,mdewrk,B20005_066,economic,0,,"!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$40,000 to $44,999",B20005_066,B20005,,
pv200t299,poppvu2,B17024_011,economic,0,,!!Total!!Under 6 years!!2.00 to 2.99,B17024_011,B17024,,
pv200t299,poppvu2,B17024_063,economic,0,,!!Total!!25 to 34 years!!2.00 to 2.99,B17024_063,B17024,,
pv200t299,poppvu2,B17024_102,economic,0,,!!Total!!55 to 64 years!!2.00 to 2.99,B17024_102,B17024,,
pv200t299,poppvu2,B17024_115,economic,0,,!!Total!!65 to 74 years!!2.00 to 2.99,B17024_115,B17024,,
pv200t299,poppvu2,B17024_037,economic,0,,!!Total!!12 to 17 years!!2.00 to 2.99,B17024_037,B17024,,
pv200t299,poppvu2,B17024_024,economic,0,,!!Total!!6 to 11 years!!2.00 to 2.99,B17024_024,B17024,,
pv200t299,poppvu2,B17024_128,economic,0,,!!Total!!75 years and over!!2.00 to 2.99,B17024_128,B17024,,
pv200t299,poppvu2,B17024_076,economic,0,,!!Total!!35 to 44 years!!2.00 to 2.99,B17024_076,B17024,,
pv200t299,poppvu2,B17024_089,economic,0,,!!Total!!45 to 54 years!!2.00 to 2.99,B17024_089,B17024,,
pv200t299,poppvu2,B17024_050,economic,0,,!!Total!!18 to 24 years!!2.00 to 2.99,B17024_050,B17024,,
fft30t35,mdefftwrk,B20005_064,economic,0,,"!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$30,000 to $34,999",B20005_064,B20005,,
ern30t35,mdewrk,B20005_064,economic,0,,"!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$30,000 to $34,999",B20005_064,B20005,,
cvlfuem2,cvlf2,DP03_0005,economic,0,profile, !!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,DP03_0005,DP03,,
cvlfuem1,pop16pl,DP03_0005,economic,0,profile, !!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,DP03_0005,DP03,,
pv75t99,poppvu2,B17024_044,economic,0,,!!Total!!18 to 24 years!!.75 to .99,B17024_044,B17024,,
pv75t99,poppvu2,B17024_018,economic,0,,!!Total!!6 to 11 years!!.75 to .99,B17024_018,B17024,,
pv75t99,poppvu2,B17024_096,economic,0,,!!Total!!55 to 64 years!!.75 to .99,B17024_096,B17024,,
pv75t99,poppvu2,B17024_109,economic,0,,!!Total!!65 to 74 years!!.75 to .99,B17024_109,B17024,,
pv75t99,poppvu2,B17024_122,economic,0,,!!Total!!75 years and over!!.75 to .99,B17024_122,B17024,,
pv75t99,poppvu2,B17024_005,economic,0,,!!Total!!Under 6 years!!.75 to .99,B17024_005,B17024,,
pv75t99,poppvu2,B17024_031,economic,0,,!!Total!!12 to 17 years!!.75 to .99,B17024_031,B17024,,
pv75t99,poppvu2,B17024_057,economic,0,,!!Total!!25 to 34 years!!.75 to .99,B17024_057,B17024,,
pv75t99,poppvu2,B17024_070,economic,0,,!!Total!!35 to 44 years!!.75 to .99,B17024_070,B17024,,
pv75t99,poppvu2,B17024_083,economic,0,,!!Total!!45 to 54 years!!.75 to .99,B17024_083,B17024,,
pv150t174,poppvu2,B17024_034,economic,0,,!!Total!!12 to 17 years!!1.50 to 1.74,B17024_034,B17024,,
pv150t174,poppvu2,B17024_112,economic,0,,!!Total!!65 to 74 years!!1.50 to 1.74,B17024_112,B17024,,
pv150t174,poppvu2,B17024_021,economic,0,,!!Total!!6 to 11 years!!1.50 to 1.74,B17024_021,B17024,,
pv150t174,poppvu2,B17024_060,economic,0,,!!Total!!25 to 34 years!!1.50 to 1.74,B17024_060,B17024,,
pv150t174,poppvu2,B17024_099,economic,0,,!!Total!!55 to 64 years!!1.50 to 1.74,B17024_099,B17024,,
pv150t174,poppvu2,B17024_008,economic,0,,!!Total!!Under 6 years!!1.50 to 1.74,B17024_008,B17024,,
pv150t174,poppvu2,B17024_073,economic,0,,!!Total!!35 to 44 years!!1.50 to 1.74,B17024_073,B17024,,
pv150t174,poppvu2,B17024_086,economic,0,,!!Total!!45 to 54 years!!1.50 to 1.74,B17024_086,B17024,,
pv150t174,poppvu2,B17024_125,economic,0,,!!Total!!75 years and over!!1.50 to 1.74,B17024_125,B17024,,
pv150t174,poppvu2,B17024_047,economic,0,,!!Total!!18 to 24 years!!1.50 to 1.74,B17024_047,B17024,,
hhi25t34,hh2,DP03_0055,economic,0,profile,"!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$25,000 to $34,999",DP03_0055,DP03,,
hhi25t34,hh2,DP03_0055,economic,0,profile," !!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$25,000 to $34,999",DP03_0055,DP03,,
hhi35t49,hh2,DP03_0056,economic,0,profile,"!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$35,000 to $49,999",DP03_0056,DP03,,
hhi35t49,hh2,DP03_0056,economic,0,profile," !!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$35,000 to $49,999",DP03_0056,DP03,,
mdhi100t124,mdhhinc,B19001_014,economic,0,,"!!Total!!$100,000 to $124,999",B19001_014,B19001,,
mnfctrng,cvem16pl3,DP03_0035,economic,0,profile, !!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing,DP03_0035,DP03,,
hhiu10,hh2,DP03_0052,economic,0,profile,"!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Less than $10,000",DP03_0052,DP03,,
hhiu10,hh2,DP03_0052,economic,0,profile," !!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Less than $10,000",DP03_0052,DP03,,
pv185t199,poppvu2,B17024_075,economic,0,,!!Total!!35 to 44 years!!1.85 to 1.99,B17024_075,B17024,,
pv185t199,poppvu2,B17024_101,economic,0,,!!Total!!55 to 64 years!!1.85 to 1.99,B17024_101,B17024,,
pv185t199,poppvu2,B17024_114,economic,0,,!!Total!!65 to 74 years!!1.85 to 1.99,B17024_114,B17024,,
pv185t199,poppvu2,B17024_062,economic,0,,!!Total!!25 to 34 years!!1.85 to 1.99,B17024_062,B17024,,
pv185t199,poppvu2,B17024_127,economic,0,,!!Total!!75 years and over!!1.85 to 1.99,B17024_127,B17024,,
pv185t199,poppvu2,B17024_049,economic,0,,!!Total!!18 to 24 years!!1.85 to 1.99,B17024_049,B17024,,
pv185t199,poppvu2,B17024_088,economic,0,,!!Total!!45 to 54 years!!1.85 to 1.99,B17024_088,B17024,,
pv185t199,poppvu2,B17024_023,economic,0,,!!Total!!6 to 11 years!!1.85 to 1.99,B17024_023,B17024,,
pv185t199,poppvu2,B17024_010,economic,0,,!!Total!!Under 6 years!!1.85 to 1.99,B17024_010,B17024,,
pv185t199,poppvu2,B17024_036,economic,0,,!!Total!!12 to 17 years!!1.85 to 1.99,B17024_036,B17024,,
ern25t30,mdewrk,B20005_063,economic,0,,"!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$25,000 to $29,999",B20005_063,B20005,,
fft25t30,mdefftwrk,B20005_063,economic,0,,"!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$25,000 to $29,999",B20005_063,B20005,,
ern25t30,mdewrk,B20005_086,economic,0,,"!!Total!!Female!!Other!!With earnings!!$25,000 to $29,999",B20005_086,B20005,,
ern25t30,mdewrk,B20005_016,economic,0,,"!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$25,000 to $29,999",B20005_016,B20005,,
mft25t30,mdemftwrk,B20005_016,economic,0,,"!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings!!$25,000 to $29,999",B20005_016,B20005,,
ern25t30,mdewrk,B20005_039,economic,0,,"!!Total!!Male!!Other!!With earnings!!$25,000 to $29,999",B20005_039,B20005,,
fami50t74,fam2,DP03_0081,economic,0,profile,"!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Families!!$50,000 to $74,999",DP03_0081,DP03,,
fami50t74,fam2,DP03_0081,economic,0,profile," !!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Families!!$50,000 to $74,999",DP03_0081,DP03,,
pv500pl,poppvu2,B17024_027,economic,0,,!!Total!!6 to 11 years!!5.00 and over,B17024_027,B17024,,
pv500pl,poppvu2,B17024_079,economic,0,,!!Total!!35 to 44 years!!5.00 and over,B17024_079,B17024,,
pv500pl,poppvu2,B17024_053,economic,0,,!!Total!!18 to 24 years!!5.00 and over,B17024_053,B17024,,
pv500pl,poppvu2,B17024_014,economic,0,,!!Total!!Under 6 years!!5.00 and over,B17024_014,B17024,,
pv500pl,poppvu2,B17024_105,economic,0,,!!Total!!55 to 64 years!!5.00 and over,B17024_105,B17024,,
pv500pl,poppvu2,B17024_131,economic,0,,!!Total!!75 years and over!!5.00 and over,B17024_131,B17024,,
pv500pl,poppvu2,B17024_092,economic,0,,!!Total!!45 to 54 years!!5.00 and over,B17024_092,B17024,,
pv500pl,poppvu2,B17024_040,economic,0,,!!Total!!12 to 17 years!!5.00 and over,B17024_040,B17024,,
pv500pl,poppvu2,B17024_118,economic,0,,!!Total!!65 to 74 years!!5.00 and over,B17024_118,B17024,,
pv500pl,poppvu2,B17024_066,economic,0,,!!Total!!25 to 34 years!!5.00 and over,B17024_066,B17024,,
fft55t65,mdefftwrk,B20005_069,economic,0,,"!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$55,000 to $64,999",B20005_069,B20005,,
ern55t65,mdewrk,B20005_069,economic,0,,"!!Total!!Female!!Worked full-time, year-round in the past 12 months!!With earnings!!$55,000 to $64,999",B20005_069,B20005,,
cvlf2,cvlf2,DP03_0008,economic,0,profile, !!EMPLOYMENT STATUS!!Civilian labor force,DP03_0008,DP03,,
mwrkern,mdemftwrk,B20005_005,economic,0,,"!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings",B20005_005,B20005,,
wrke16pl,mdewrk,B20005_005,economic,0,,"!!Total!!Male!!Worked full-time, year-round in the past 12 months!!With earnings",B20005_005,B20005,,
